iter	MAE	RMSE
0	0.6778994409	0.8685738986
1	0.6773174486	0.8680191214
2	0.6771633799	0.867891094
3	0.677004457	0.8677599345
4	0.6765601931	0.8674073846
5	0.6763479807	0.8672230403
6	0.6758912495	0.8668470261
7	0.6755344506	0.8665393316
8	0.6752300816	0.8662167309
9	0.6749139766	0.8659565282
10	0.6747558286	0.8657947283
11	0.6745133033	0.86556942
12	0.6742988998	0.8653185405
13	0.6739585542	0.8650649864
14	0.6735688451	0.8647149995
15	0.6733354189	0.8645228039
16	0.6728644402	0.864144085
17	0.6725878414	0.8639190277
18	0.6721714622	0.8635615811
19	0.6719150633	0.8633502812
20	0.6717820102	0.8631968251
21	0.6714691023	0.8628780564
22	0.6711121523	0.8625935175
23	0.6707963291	0.8623757035
24	0.6705144949	0.8621142426
25	0.6699773449	0.8616779134
26	0.6696451335	0.8613553377
27	0.669437772	0.8611977786
28	0.6692328133	0.8610467131
29	0.6690017114	0.8608237062
30	0.6688583499	0.8607126327
31	0.6687755731	0.8606474624
32	0.6683292575	0.8602916944
33	0.6681081959	0.8601454378
34	0.6677683574	0.8598345775
35	0.6675930372	0.8596749358
36	0.6672515315	0.8594142903
37	0.6671107394	0.8592974711
38	0.6668672877	0.8590318708
39	0.6666189203	0.8588162093
40	0.666452624	0.8586486416
41	0.6662311726	0.8584500035
42	0.6659674807	0.8582462451
43	0.6655508716	0.857946678
44	0.6651365813	0.8576213303
45	0.6647981038	0.857324829
46	0.6643431659	0.8569821554
47	0.6640751979	0.8567856015
48	0.6637578331	0.8564992085
49	0.663582431	0.8563749259
50	0.6633613953	0.8562134225
51	0.6631945293	0.8560407371
52	0.6629358842	0.85588208
53	0.6627221846	0.8556904638
54	0.6623675765	0.8554363424
55	0.662177934	0.8552582403
56	0.6619635357	0.8550443179
57	0.6617824593	0.8548557121
58	0.6613710274	0.8545375104
59	0.6612841663	0.8544679708
60	0.661075763	0.8542306307
61	0.6608672645	0.8540545358
62	0.6606983371	0.8538903809
63	0.6603662941	0.8536329646
64	0.6599320612	0.8532483834
65	0.6595723684	0.8529470259
66	0.6592474283	0.8526876123
67	0.6590638405	0.852519308
68	0.6588366434	0.8523475136
69	0.6587192776	0.8522582716
70	0.6584163318	0.8520391211
71	0.6580504337	0.8517897883
72	0.6577530735	0.8514364418
73	0.6577288133	0.8513927332
74	0.6573825148	0.850899978
75	0.6571510589	0.8507368181
76	0.6568139844	0.8505174808
77	0.6567226283	0.8504106732
78	0.6563358402	0.8500970615
79	0.6562483136	0.8500339665
80	0.65607973	0.8498962515
81	0.6560705389	0.8498753461
82	0.6556955862	0.8495921891
83	0.6554320744	0.8494468449
84	0.6550937508	0.8492062788
85	0.6548716747	0.8490333926
86	0.6546101429	0.8488407906
87	0.6544145081	0.8486917044
88	0.6543004333	0.8486172962
89	0.6542138266	0.8485419535
90	0.6539784195	0.8483850798
91	0.6536169496	0.8481423193
92	0.653186054	0.8478439591
93	0.6530461129	0.8477725588
94	0.6529422756	0.8476966117
95	0.6528706166	0.8476117236
96	0.6527177368	0.8475051537
97	0.6525336591	0.8474005083
98	0.6524180475	0.8472899526
99	0.6522218043	0.8471049467
100	0.6520631854	0.8469714488
101	0.6518093883	0.8467788338
102	0.6516679918	0.8466783769
103	0.6514080618	0.8464388446
104	0.6509705496	0.8461111538
105	0.65072828	0.8459339262
106	0.650613512	0.845858364
107	0.650266933	0.8456389972
