iter	Passed	Remaining
0	12	13843
1	25	13978
2	39	14481
3	49	13690
4	62	13678
5	73	13507
6	87	13664
7	98	13451
8	110	13390
9	119	13111
10	129	12879
11	139	12657
12	149	12515
13	159	12424
14	168	12251
15	177	12094
16	187	11967
17	197	11928
18	207	11824
19	219	11893
20	229	11828
21	238	11742
22	248	11667
23	257	11598
24	266	11515
25	276	11470
26	286	11418
27	296	11406
28	306	11360
29	318	11408
30	328	11375
31	333	11158
32	343	11162
33	354	11162
34	364	11122
35	373	11082
36	384	11080
37	393	11043
38	403	11007
39	412	10971
40	422	10962
41	432	10944
42	442	10924
43	452	10899
44	463	10897
45	473	10884
46	484	10888
47	493	10860
48	502	10822
49	512	10800
50	522	10785
51	533	10797
52	544	10804
53	554	10784
54	563	10751
55	572	10720
56	581	10673
57	591	10671
58	601	10656
59	609	10613
60	619	10590
61	629	10572
62	640	10589
63	650	10578
64	660	10557
65	670	10540
66	680	10530
67	690	10513
68	701	10523
69	712	10521
70	721	10500
71	733	10517
72	744	10514
73	756	10525
74	765	10508
75	775	10489
76	785	10471
77	794	10455
78	804	10440
79	813	10413
80	822	10391
81	831	10365
82	841	10351
83	853	10360
84	864	10362
85	874	10356
86	885	10349
87	894	10325
88	903	10307
89	913	10290
90	922	10268
91	932	10261
92	944	10266
93	955	10261
94	966	10270
95	977	10267
96	987	10249
97	997	10237
98	1007	10222
99	1017	10211
100	1026	10197
101	1036	10183
102	1046	10166
103	1055	10150
104	1064	10132
105	1077	10145
106	1085	10110
107	1094	10094
108	1104	10081
109	1114	10072
110	1124	10061
111	1131	10019
112	1140	10003
113	1150	9994
114	1160	9980
115	1169	9962
116	1183	9985
117	1195	9993
118	1208	10005
119	1221	10012
120	1232	10014
121	1243	10008
122	1253	9997
123	1263	9986
124	1273	9977
125	1284	9970
126	1296	9971
127	1307	9966
128	1318	9963
129	1330	9968
130	1342	9972
131	1355	9977
132	1367	9982
133	1379	9989
134	1394	10009
135	1407	10021
136	1420	10026
137	1432	10030
138	1450	10070
139	1480	10191
140	1494	10204
141	1510	10233
142	1524	10247
143	1538	10253
144	1550	10253
145	1563	10260
